BORE_ID,HEADER_ID,STATE_NAME,COUNTY_NAME,WELL_PROFILE_CODE,FIRST_ELEVATION,FIRST_ELEVATION_TYPE_CODE,FIRST_ELEVATION_SOURCE,SECOND_ELEVATION,SECOND_ELEVATION_TYPE_CODE,SECOND_ELEVATION_SOURCE,GROUND_ELEVATION,GROUND_ELEVATION_SOURCE,GROUND_ELEVATION_TYPE,KB HEIGHT,WELL_DATE,LATITUDE,LONGITUDE,KB_HEIGHT_ACTUAL,KB_HEIGHT_PREDICTED
4918918,4842544,TX,ECTOR,V,3043.0,KB,UNKNOWN,,,,3030.0,UNKNOWN,GR,13,1988-01-26,31.9828786044762,-102.483508540786,13,13.13540181513428
4792320,4721253,CA,ORANGE,V,252.0,KB,UNKNOWN,,,,243.36,FD_USGS,EG,9,1954-12-14,33.86313579,-117.837594334,9,11.328717772938363
6063105,5965452,UT,UINTAH,V,4923.0,KB,UNKNOWN,,,,4906.0,ST_UTOCD,GR,17,2006-02-14,39.9752551600622,-109.867671061672,17,15.671243700794975
7229013,7119964,OH,SUMMIT,V,1065.0,KB,ST_OHDNR,,,,1055.0,ST_OHDNR,GR,10,1981-08-03,41.194736754753,-81.6475491209983,10,9.959356706308945
3971591,3911707,CO,SAN MIGUEL,D,6475.0,KB,ST_COOGC,,,,6459.0,ST_COOGC,GR,16,2003-08-21,38.0661841958,-108.671582476156,16,17.25508857246856
7623773,7501427,TX,TERRY,V,3524.0,KB,ST_TXRRC,3522.5,DF,ST_TXRRC,3509.0,ST_TXRRC,GR,15,2014-12-08,33.3693257457299,-102.477502039818,15,15.135299209796802
7651937,7527228,TX,HOWARD,H,2765.0,KB,ST_TXRRC,2764.0,DF,ST_TXRRC,2735.0,ST_TXRRC,GR,30,2015-06-28,32.4680020433254,-101.641728005336,30,27.503882976746674
7745088,7611810,CO,WELD,H,4925.0,KB,ST_COOGC,,,,4903.0,ST_COOGC,GR,22,2017-01-18,40.1678754968634,-104.891510668315,22,22.91897055106118
7400863,7284239,TX,ECTOR,D,3186.0,KB,STATE,3186.0,DF,STATE,3173.0,STATE,GR,13,2013-06-14,32.0314433462637,-102.687723481024,13,16.047545221317236
4157593,4096137,CO,WELD,H,4934.0,KB,ST_COOGC,,,,4918.0,ST_COOGC,GR,16,2010-04-26,40.5942402621957,-104.560847525345,16,19.398864129353377
7715980,7586479,TX,KARNES,H,398.0,DF,ST_TXRRC,398.0,KB,ST_TXRRC,372.0,ST_TXRRC,GR,26,2016-07-10,29.046027933018,-97.7784458383626,26,25.16144190663561
7424729,7307324,CO,MONTEZUMA,V,6790.0,KB,STATE,6789.5,DF,STATE,6764.0,ST_COOGC,GR,26,2013-10-28,37.5322692472877,-108.848920868497,26,21.122933151366524
7223166,7114130,OH,STARK,V,1108.0,KB,ST_OHDNR,,,,1102.0,ST_OHDNR,GR,6,1967-10-27,40.781201496237,-81.3187260980718,6,7.325020943295062
7226034,7116997,OH,STARK,V,1212.0,KB,ST_OHDNR,,,,1202.0,ST_OHDNR,GR,10,1987-12-12,40.9076258907328,-81.1476079268702,10,10.215518291489222
5038435,4956362,OK,PAYNE,V,1066.0,DF,UNKNOWN,,,,1045.69,FD_USGS,EG,20,1952-01-01,36.10029,-97.31488,20,16.7559024131603
7058727,6949846,OH,ASHTABULA,V,826.0,KB,ST_OHDNR,,,,818.0,ST_OHDNR,GR,8,1999-08-23,41.739638534702,-80.8163772884504,8,9.464362703102037
7389737,7273633,OK,BECKHAM,H,2150.0,DF,ST_OKOCC,2155.0,KB,ST_OKOCC,2122.0,ST_OKOCC,GR,28,2013-03-27,35.3780415324095,-99.9096597432905,28,25.833889608880106
5697928,5609059,TX,KING,V,1833.0,KB,UNKNOWN,,,,1820.0,UNKNOWN,GR,13,1989-04-20,33.5351985225543,-100.199517047866,13,12.912506570738095
8256382,8076034,TX,MCMULLEN,H,440.0,DF,ST_TXRRC,440.36,DF,ST_TXRRC,415.0,ST_TXRRC,GR,25,2019-02-03,28.3809962816585,-98.5992545157322,25,24.788511861085702
6186727,6086745,TX,TARRANT,H,527.0,KB,ST_TXRRC,,,,503.0,STATE,GR,24,2008-08-27,32.73040407,-97.19116906,24,23.713986760520324
7648791,7524344,OK,GRADY,H,1222.0,DF,ST_OKOCC,,,,1197.0,ST_OKOCC,GR,25,2015-02-08,35.072431022013,-97.8654939568519,25,24.185883960646855
4350812,4285971,OK,ELLIS,V,2380.0,KB,P2ES,2362.0,DF,STATE,2362.0,STATE,GR,18,1981-05-30,36.1970706050143,-99.7052630554662,18,15.15170528852459
4145318,4083899,CO,WELD,V,4750.0,KB,ST_COOGC,4750.0,DF,ST_COOGC,4737.0,ST_COOGC,GR,13,2008-10-20,40.4120768215459,-104.44366783374,13,13.445831569468142
7607840,7486200,OK,MCCLAIN,V,1022.0,DF,ST_OKOCC,,,,1012.0,ST_OKOCC,GR,10,2014-07-12,34.8961133601323,-97.4272611204907,10,11.789556292210131
6431393,6328338,TX,ROBERTSON,V,512.0,KB,ST_TXRRC,511.0,DF,ST_TXRRC,478.0,ST_TXRRC,GR,34,2005-07-03,30.9855615249175,-96.4731869166615,34,24.82783882009148
4134292,4072894,CO,WELD,D,5045.0,KB,UNKNOWN,,,,5031.0,ST_COOGC,GR,14,2007-07-16,40.1907156945942,-104.73702801799,14,15.95360072939282
5580294,5493035,NM,RIO ARRIBA,V,6788.0,KB,UNKNOWN,,,,6776.0,ST_NMOCD,GR,12,1985-08-23,36.6441765096646,-107.378502533298,12,12.575624150532732
5346928,5262252,WY,CAMPBELL,V,4045.0,KB,UNKNOWN,,,,4034.0,UNKNOWN,GR,11,1997-03-14,44.41148,-105.21444,11,11.59829061531018
7596076,7474846,TX,HOWARD,V,2595.0,KB,ST_TXRRC,2594.0,DF,ST_TXRRC,2576.0,ST_TXRRC,GR,19,2014-10-13,32.3164905167307,-101.549217147212,19,17.26736306383576
